"Sample_id","Coverage","Mean_depth"
"EHC-C19-1062X-L3","99.9799","1674.48"
"EHC-C19-1193Y","99.9766","2692.54"
"EHC-C19-1197C","99.9666","1188.78"
"EHC-C19-1220Z","99.9766","2634.95"
"EHC-C19-1225E","99.9732","4805.41"
"EHC-C19-1292T","99.9666","5002.36"
"EHC-C19-1318T-L2","100","2442.61"
"EHC-C19-1384H-L3","99.786","64.0041"
"EHC-C19-1407E-L3","99.4649","24.2521"
"EHC-C19-1410H","100","63744.6"
"EHC-C19-1424V","99.9933","13498.2"
"EHC-C19-1439K","99.9699","981.535"
"EHC-C19-1441M","99.9967","3255.83"
"EHC-C19-1444P","99.9799","8628.63"
"EHC-C19-1463I-L4","99.9064","180.842"
"EHC-C19-1484D","100","86717"
"EHC-C19-1485E","100","7288.54"
"EHC-C19-1492L","100","29208.8"
"EHC-C19-1495O","99.9666","3214.09"
"EHC-C19-1496P","100","137569"
"EHC-C19-1519M","99.9866","5559.28"
"EHC-C19-1525S","100","126370"
"EHC-C19-1543K","99.9866","2540.52"
"EHC-C19-1620J","99.9532","3110.64"
"EHC-C19-1624N-L3","99.99","4087.14"
"EHC-C19-1625O-L3","99.99","2057.14"
"EHC-C19-1626P-L3","99.9732","614.941"
"EHC-C19-1630T","99.99","7614.69"
"EHC-C19-1635Y","99.9599","766.864"
"EHC-C19-1637A-L3","99.99","1444.25"
"EHC-C19-1703O","100","123639"
"EHC-C19-1714Z","99.9231","18568.3"
"EHC-C19-1779M","99.8896","12541.3"
"EHC-C19-1824F-L2","99.9967","26419.9"
"EHC-C19-1850F-L2","99.9666","532.515"
"EHC-C19-1873C","99.9933","4896.47"
"EHC-C19-1875E_merged","99.9799","9186.42"
"EHC-C19-1887Q","99.9866","4604.19"
"EHC-C19-1934L-L3","99.9197","10508.6"
"EHC-C19-1939Q","99.9967","13423.6"
"EHC-C19-1950B","99.9799","4582.99"
"EHC-C19-1985K","100","29148.9"
"EHC-C19-2000Z","99.9632","1117.28"
"EHC-C19-2010J-L2","99.9833","728.451"
"EHC-C19-2013M-L2","99.9866","617.849"
"EHC-C19-2017Q","99.99","2649.03"
"EHC-C19-2021U","99.9967","7399.54"
"EHC-C19-2040N","99.9699","1085.89"
"EHC-C19-2052Z","99.9632","2476.93"
"EHC-C19-2054B","99.9833","1686.66"
"EHC-C19-2099U-L2","99.9933","14845.3"
"EHC-C19-2101W-L2","99.9967","12512.3"
"EHC-C19-2114J","99.9933","12513.6"
"EHC-C19-2124T-L2","99.9164","10505.4"
"EHC-C19-2128X-L2","99.9967","9229.89"
"EHC-C19-2131A-L2","99.9933","28872.2"
"EHC-C19-2143M-L2","99.9967","11071.5"
"EHC-C19-2149S","99.9866","9066.01"
"EHC-C19-2173Q","99.9967","2682.32"
"EHC-C19-2184B-L2","99.9933","7241.22"
"EHC-C19-2186D-L3","62.0373","1.95398"
"EHC-C19-2188F_merged","99.9866","6645.92"
"EHC-C19-2193K","99.99","10116.1"
"EHC-C19-2233Y","99.9933","9243.16"
"EHC-C19-2234Z","99.99","7318.26"
"EHC-C19-2235A","99.9933","11519.5"
"EHC-C19-2239E-L2","100","16143.3"
"EHC-C19-2265E","99.99","4746.65"
"EHC-C19-2275O","99.9799","7622.83"
"EHC-C19-2277Q","99.99","12753.4"
"EHC-C19-2302P","99.9699","2051.64"
"EHC-C19-2324L-L2","99.9933","5851.5"
"EHC-C19-2332T_merged","99.9799","3396.62"
"EHC-C19-2342D","99.9398","485.814"
"EHC-C19-2346H-L2","99.9933","7542.59"
"EHC-C19-2363Y","99.9532","1250.38"
"EHC-C19-2368D_merged","99.99","3621.84"
"EHC-C19-2369E","99.9833","2149.03"
"EHC-C19-2386V","99.9732","4524.52"
"EHC-C19-2387W-L2","99.9933","1509.03"
"EHC-C19-2390Z","99.9666","8004.24"
"EHC-C19-2420D-L2","99.9933","4533.39"
"EHC-C19-2425I-L2","99.4649","58.0848"
"EHC-C19-2427K","99.9866","2080.69"
"EHC-C19-2429M","99.9933","8272"
"EHC-C19-2435S","99.9699","3244.21"
"EHC-C19-2436T","99.9799","1520.96"
"EHC-C19-2441Y","99.9565","1418.83"
"EHC-C19-2457O","99.9967","11452.3"
"EHC-C19-2462T-L2","99.7693","778.437"
"EHC-C19-2502H-L2","99.9799","109.292"
"EHC-C19-2503I","99.99","12400.2"
"EHC-C19-2527G","99.9532","4207.63"
"EHC-C19-2536P","99.9799","8116.04"
"EHC-C19-2541U-L2","99.9799","202.861"
"EHC-C19-2548B-L2","99.9732","452.929"
"EHC-C19-2566T","99.7191","5030.11"
"EHC-C19-2571Y","99.9097","9811.37"
"EHC-C19-2572Z","99.9967","14183.4"
"EHC-C19-2579G-L2","99.9933","7781.39"
"EHC-C19-2580H-L2","99.9933","2318.73"
"EHC-C19-2586N","99.9766","5995.42"
"EHC-C19-2589Q","99.9967","7328.16"
"EHC-C19-2596X-L2","99.99","2635.28"
"EHC-C19-2632H-L2","99.9866","783.57"
"EHC-C19-2636L-L2","99.8997","64.8895"
"EHC-C19-2654B-L2","99.9866","915.687"
"EHC-C19-2660H-L2","99.99","9224.93"
"EHC-C19-2666N-L2","99.9866","6075.82"
"EHC-C19-2671S-L2","100","10621.2"
"EHC-C19-2676X-L2","98.0571","17913.5"
"EHC-C19-2685G-L2","99.9933","3645.92"
"EHC-C19-2694P-L2","99.9933","2310.05"
"EHC-C19-2698T-L2","99.99","3355.83"
"EHC-C19-2717M-L2","99.8595","75.4491"
"EHC-C19-2776T-L2","99.7358","352.114"
"EHC-C19-2777U-L2","99.9967","1563.52"
"EHC-C19-3871W-L2","99.7659","86.0991"
"EHC-C19-3888N-L2","99.9666","1457.24"
"EHC-C19-3914N-L3","99.8863","253.266"
"EHC-C19-3925Y-L2","99.9666","4408.99"
"EHC-C19-3926Z-L2","99.9866","12091.7"
"EHC-C19-3928B-L2","99.8328","149.103"
"EHC-C19-3938L-L2","99.8662","343.014"
"EHC-C19-3987I-L2","99.9967","2409.92"
"EHC-C19-4020P-L2","55.3791","1.47701"
"EHC-C19-4079W-L2","99.9766","3311.22"
"EHC-C19-4211Y-L2","99.9666","2168.87"
