KrakenDB,NCBI_Parent
1000000001,45221
1000000002,45221
1000000003,45221
1000000004,12295
1000000005,12295
1000000006,12295
1000000007,12209
1000000008,12209
1000000009,12471
1000000010,12471
1000000011,10244
1000000012,10244
1000000013,60714
1000000014,60714
1000000015,10244
1000000016,10244
1000000017,10245
1000000018,10245
1000000019,10243
1000000020,10243
1000000021,71972
1000000022,71972
1000000023,71972
1000000024,71972
1000000025,10255
1000000026,10255
1000000027,55951
1000000028,55951
1000000029,28354
1000000030,28354
1000000031,10258
1000000032,10258
1000000033,10256
1000000034,10256
1000000035,10261
1000000036,10261
1000000037,10264
1000000038,10264
1000000039,32619
1000000040,32619
1000000041,10276
1000000042,10276
1000000043,10266
1000000044,10266
1000000045,56820
1000000046,56820
1000000047,10271
1000000048,10271
1000000049,10273
1000000050,10273
1000000051,33724
1000000052,33724
1000000053,33724
1000000054,33724
1000000055,33724
1000000056,33724
1000000057,33724
1000000058,33724
1000000059,33724
1000000060,33724
1000000061,33724
1000000062,10280
1000000063,10280
1000000064,12321
1000000065,12321
1000000066,12321
1000000067,12321
1000000068,12208
1000000069,12208
1000000070,12303
1000000071,12303
1000000072,12303
1000000073,12303
1000000074,10298
1000000075,10298
1000000076,114922
1000000077,114922
1000000078,33773
1000000079,33773
1000000080,33773
1000000081,33773
1000000082,10317
1000000083,10317
1000000084,75387
1000000085,75387
1000000086,10326
1000000087,10326
1000000088,10331
1000000089,10331
1000000090,10325
1000000091,10325
1000000092,10335
1000000093,10335
1000000094,28348
1000000095,28348
1000000096,28348
1000000097,55884
1000000098,55884
1000000099,10334
1000000100,10334
1000000101,10345
1000000102,10345
1000000103,40053
1000000104,40053
1000000105,40053
1000000106,40053
1000000107,40053
1000000108,40053
1000000109,40053
1000000110,40053
1000000111,40053
1000000112,40053
1000000113,40053
1000000114,10353
1000000115,10353
1000000116,10359
1000000117,10359
1000000118,10366
1000000119,10366
1000000120,10372
1000000121,10372
1000000122,10371
1000000123,10371
1000000124,46021
1000000125,46021
1000000126,10376
1000000127,10376
1000000128,12253
1000000129,12253
1000000130,10381
1000000131,10381
1000000132,12480
1000000133,12480
1000000134,10386
1000000135,10386
1000000136,60875
1000000137,60875
1000000138,10385
1000000139,10385
1000000140,139871
1000000141,139871
1000000142,10390
1000000143,10390
1000000144,10397
1000000145,10397
1000000146,10398
1000000147,10398
1000000148,45223
1000000149,45223
1000000150,45223
1000000151,10406
1000000152,10406
1000000153,10401
1000000154,10401
1000000155,10449
1000000156,10449
1000000157,10454
1000000158,10454
1000000159,28350
1000000160,28350
1000000161,10455
1000000162,10455
1000000163,196089
1000000164,196089
1000000165,10456
1000000166,10456
1000000167,148880
1000000168,148880
1000000169,148880
1000000170,12210
1000000171,12210
1000000172,10464
1000000173,10464
1000000174,10484
1000000175,10484
1000000176,10484
1000000177,10484
1000000178,10484
1000000179,10484
1000000180,10484
1000000181,10484
1000000182,10484
1000000183,10484
1000000184,10484
1000000185,10484
1000000186,10484
1000000187,10484
1000000188,10484
1000000189,10484
1000000190,10484
1000000191,10484
1000000192,10484
1000000193,10484
1000000194,10484
1000000195,10484
1000000196,10484
1000000197,10484
1000000198,12450
1000000199,12450
1000000200,10493
1000000201,10493
1000000202,10497
1000000203,10497
1000000204,292792
1000000205,292792
1000000206,12301
1000000207,12301
1000000208,12301
1000000209,12301
1000000210,10497
1000000211,10497
1000000212,56486
1000000213,56486
1000000214,56486
1000000215,56486
1000000216,10497
1000000217,10497
1000000218,35238
1000000219,35238
1000000220,10497
1000000221,10497
1000000222,10497
1000000223,10497
1000000224,10497
1000000225,10497
1000000226,33743
1000000227,33743
1000000228,10497
1000000229,10497
1000000230,10497
1000000231,10497
1000000232,32624
1000000233,32624
1000000234,10497
1000000235,10497
1000000236,10497
1000000237,10497
1000000238,10497
1000000239,10497
1000000240,44024
1000000241,44024
1000000242,10497
1000000243,10497
1000000244,45224
1000000245,45224
1000000246,10497
1000000247,10497
1000000248,10497
1000000249,10497
1000000250,228578
1000000251,228578
1000000252,10497
1000000253,10497
1000000254,12473
1000000255,12473
1000000256,10497
1000000257,10497
1000000258,10506
1000000259,10506
1000000260,46350
1000000261,46350
1000000262,10510
1000000263,10510
1000000264,33706
1000000265,33706
1000000266,10512
1000000267,10512
1000000268,10514
1000000269,10514
1000000270,10515
1000000271,10515
1000000272,129143
1000000273,129143
1000000274,10519
1000000275,10519
1000000276,10522
1000000277,10522
1000000278,12319
1000000279,12319
1000000280,12319
1000000281,12319
1000000282,10533
1000000283,10533
1000000284,56144
1000000285,56144
1000000286,10537
1000000287,10537
1000000288,10546
1000000289,10546
1000000290,10564
1000000291,10564
1000000292,10561
1000000293,10561
1000000294,10567
1000000295,10567
1000000296,28358
1000000297,28358
1000000298,10566
1000000299,10566
1000000300,10571
1000000301,10571
1000000302,70600
1000000303,70600
1000000304,10589
1000000305,10589
1000000306,10600
1000000307,10600
1000000308,10570
1000000309,10570
1000000310,10568
1000000311,10568
1000000312,70793
1000000313,70793
1000000314,10611
1000000315,10611
1000000316,10616
1000000317,10616
1000000318,12417
1000000319,12417
1000000320,10621
1000000321,10621
1000000322,10620
1000000323,10620
1000000324,148879
1000000325,148879
1000000326,10617
1000000327,10617
1000000328,10623
1000000329,10623
1000000330,10640
1000000331,10640
1000000332,12530
1000000333,12530
1000000334,10632
1000000335,10632
1000000336,35244
1000000337,35244
1000000338,10641
1000000339,10641
1000000340,12235
1000000341,12235
1000000342,10649
1000000343,10649
1000000344,12263
1000000345,12263
1000000346,12263
1000000347,10653
1000000348,10653
1000000349,10654
1000000350,10654
1000000351,29272
1000000352,29272
1000000353,10658
1000000354,10658
1000000355,292639
1000000356,292639
1000000357,10651
1000000358,10651
1000000359,12431
1000000360,12431
1000000361,10680
1000000362,10680
1000000363,10682
1000000364,10682
1000000365,10666
1000000366,10666
1000000367,10690
1000000368,10690
1000000369,10689
1000000370,10689
1000000371,70822
1000000372,70822
1000000373,10692
1000000374,10692
1000000375,45406
1000000376,45406
1000000377,10702
1000000378,10702
1000000379,35246
1000000380,35246
1000000381,10693
1000000382,10693
1000000383,103881
1000000384,103881
1000000385,103881
1000000386,103881
1000000387,10710
1000000388,10710
1000000389,10704
1000000390,10704
1000000391,10713
1000000392,10713
1000000393,10717
1000000394,10717
1000000395,59500
1000000396,59500
1000000397,59500
1000000398,10717
1000000399,10717
1000000400,31503
1000000401,31503
1000000402,10719
1000000403,10719
1000000404,10724
1000000405,10724
1000000406,59504
1000000407,59504
1000000408,10747
1000000409,10747
1000000410,10730
1000000411,10730
1000000412,10732
1000000413,10732
1000000414,10748
1000000415,10748
1000000416,10753
1000000417,10753
1000000418,10757
1000000419,10757
1000000420,12433
1000000421,12433
1000000422,10759
1000000423,10759
1000000424,10759
1000000425,10759
1000000426,12432
1000000427,12432
1000000428,10760
1000000429,10760
1000000430,10784
1000000431,10784
1000000432,10788
1000000433,10788
1000000434,35250
1000000435,35250
1000000436,10778
1000000437,10778
1000000438,40279
1000000439,40279
1000000440,10794
1000000441,10794
1000000442,71366
1000000443,71366
1000000444,10796
1000000445,10796
1000000446,10815
1000000447,10815
1000000448,10815
1000000449,10804
1000000450,10804
1000000451,10798
1000000452,10798
1000000453,45661
1000000454,45661
1000000455,10820
1000000456,10820
1000000457,10817
1000000458,10817
1000000459,10817
1000000460,12239
1000000461,12239
1000000462,10827
1000000463,10827
1000000464,10827
1000000465,10830
1000000466,10830
1000000467,35252
1000000468,35252
1000000469,10826
1000000470,10826
1000000471,10829
1000000472,10829
1000000473,10829
1000000474,31504
1000000475,31504
1000000476,10831
1000000477,10831
1000000478,10831
1000000479,12524
1000000480,12524
1000000481,10836
1000000482,10836
1000000483,12430
1000000484,12430
1000000485,10835
1000000486,10835
1000000487,10835
1000000488,10832
1000000489,10832
1000000490,70823
1000000491,70823
1000000492,10834
1000000493,10834
1000000494,10837
1000000495,10837
1000000496,35254
1000000497,35254
1000000498,10838
1000000499,10838
1000000500,10838
1000000501,10840
1000000502,10840
1000000503,12436
1000000504,12436
1000000505,10839
1000000506,10839
1000000507,10839
1000000508,10843
1000000509,10843
1000000510,12458
1000000511,12458
1000000512,10845
1000000513,10845
1000000514,10849
1000000515,10849
1000000516,10855
1000000517,10855
1000000518,129395
1000000519,129395
1000000520,10854
1000000521,10854
1000000522,10867
1000000523,10867
1000000524,35258
1000000525,35258
1000000526,10868
1000000527,10868
1000000528,384848
1000000529,384848
1000000530,10869
1000000531,10869
1000000532,10872
1000000533,10872
1000000534,10942
1000000535,10942
1000000536,10942
1000000537,10942
1000000538,10942
1000000539,10942
1000000540,10942
1000000541,10942
1000000542,10942
