"uuid","State","Streptomycin","Time","lng","lat"
"SRR10728132","Georgia","yes","1/24/2020",-84.38633,33.543682
"SRR10728149","Georgia","yes","2/24/2020",-84.38633,33.543682
"SRR7297567","Georgia","yes","3/24/2020",-84.38633,33.543682
"SRR8199061","Georgia","yes","4/24/2020",-84.38633,33.543682
"SRR7296865","Georgia","no","5/24/2020",-84.38633,33.543682
"SRR8810452","Georgia","no","6/24/2020",-84.38633,33.543682
"SRR7297590","Georgia","no","7/24/2020",-84.38633,33.543682
"SRR7296992","Georgia","no","8/24/2020",-84.38633,33.543682
"SRR9647727","Georgia","no","9/24/2020",-84.38633,33.543682
"SRR7297473","Georgia","no","10/24/2020",-84.38633,33.543682
"SRR8199681","Alabama","yes","11/24/2020",-86.779633,33.543682
"SRR7296772","Alabama","yes","12/24/2020",-86.779633,33.543682
"SRR8199318","Alabama","yes","1/24/2021",-86.779633,33.543682
"SRR7296880","Alabama","yes","2/24/2021",-86.779633,33.543682
