"sample"	"is_paired"	"rank"	"reason"	"estimated_genome_size"	"total_contig"	"total_contig_length"	"max_contig_length"	"mean_contig_length"	"median_contig_length"	"min_contig_length"	"n50_contig_length"	"l50_contig_count"	"num_contig_non_acgtn"	"contig_percent_a"	"contig_percent_c"	"contig_percent_g"	"contig_percent_t"	"contig_percent_n"	"contig_non_acgtn"	"contigs_greater_1m"	"contigs_greater_100k"	"contigs_greater_10k"	"contigs_greater_1k"	"percent_contigs_greater_1m"	"percent_contigs_greater_100k"	"percent_contigs_greater_10k"	"percent_contigs_greater_1k"	"original_total_bp"	"original_coverage"	"original_read_total"	"original_read_min"	"original_read_mean"	"original_read_std"	"original_read_median"	"original_read_max"	"original_read_25th"	"original_read_75th"	"original_qual_min"	"original_qual_mean"	"original_qual_std"	"original_qual_max"	"original_qual_median"	"original_qual_25th"	"original_qual_75th"	"final_total_bp"	"final_coverage"	"final_read_total"	"final_read_min"	"final_read_mean"	"final_read_std"	"final_read_median"	"final_read_max"	"final_read_25th"	"final_read_75th"	"final_qual_min"	"final_qual_mean"	"final_qual_std"	"final_qual_max"	"final_qual_median"	"final_qual_25th"	"final_qual_75th"	"CDS"	"gene"	"rRNA"	"tRNA"	"tmRNA"	"mlst_blast_st"	"mlst_blast_loci"	"mlst_blast_perfect_matches"	"mlst_ariba_st"	"mlst_ariba_adk"	"mlst_ariba_atpg"	"mlst_ariba_frdb"	"mlst_ariba_fuck"	"mlst_ariba_mdh"	"mlst_ariba_pgi"	"mlst_ariba_reca"
"SRR10728132"	"True"	"gold"	"passed all cutoffs"	1860151	34	1779743	213247	52345	25576	516	136707	5	0	30.88	18.83	19.02	31.26	0	0	0	6	21	31	0	17.65	61.76	91.18	476885277	256.369	3201420	87	148.9605	7.8681	151	151	150	151	14	32.5084	1.1578	34	33	32.5	33	186015096	100	1270220	35	146.4435	14.6612	150	150	150	150	17.5	32.5235	1.1548	34	33	32.5	33	1683	1738	4	50	1	"396"	7	7	"396"	10	2	"15"	8	26	61	3
"SRR10728149"	"True"	"gold"	"passed all cutoffs"	1860151	16	1806319	427048	112894	52422	1460	294346	3	0	30.98	19.02	18.89	31.11	0	0	0	5	14	16	0	31.25	87.5	100	490195882	263.525	3291784	87.5	148.915	7.9205	151	151	150	151	12.5	32.5286	1.1501	34	33	32.5	33	186014981	100	1270938	35	146.36	14.7661	150	150	150	150	17.5	32.5455	1.145	34	33	32.5	33	1711	1765	4	49	1	"1714"	7	7	"1714"	26	1	"46"	1	79	130	23
"SRR7297567"	"True"	"gold"	"passed all cutoffs"	1860151	33	1876682	472935	56869	15893	1063	135281	4	0	31.08	19.13	18.97	30.83	0	0	0	7	19	33	0	21.21	57.58	100	507650671	272.909	3403890	83.5	149.1385	7.3939	151	151	150	151	14	32.5054	1.1582	34	33	32.5	33	186014940	100	1267288	35	146.7815	13.7966	150	150	150	150	18	32.5211	1.1526	34	33	32.5	33	1836	1893	5	51	1	"912"	7	7	"912"	63	98	"22"	15	62	40	3
"SRR8199061"	"True"	"gold"	"passed all cutoffs"	1860151	17	1844322	427165	108489	81540	729	237153	3	0	31.16	19.22	18.66	30.96	0	0	0	6	14	15	0	35.29	82.35	88.24	560924711	301.548	3763266	87	149.0525	7.5701	151	151	150	151	14.5	32.4947	1.1693	34	33	32.5	33	186015022	100	1268816	35	146.605	14.1271	150	150	150	150	17.5	32.5107	1.1637	34	33	32.5	33	1755	1809	4	49	1	"ND"	7	6	"1714*"	26	1	"46*"	1	79	130	23
"SRR7296865"	"True"	"gold"	"passed all cutoffs"	1860151	22	1853834	277822	84265	58712	933	146464	4	0	30.82	18.81	19.19	31.19	0	0	0	7	15	21	0	31.82	68.18	95.45	585133989	314.563	3931838	87	148.8195	8.0377	151	151	150	151	14.5	32.556	1.1285	34	33	32.5	33	186014972	100	1272384	35	146.194	14.9242	150	150	150	150	18	32.5742	1.121	34	33	32.5	33	1785	1840	4	50	1	"145"	7	7	"145"	1	8	"1"	14	22	14	13
"SRR8810452"	"True"	"gold"	"passed all cutoffs"	1860151	35	1850710	397073	52877	24481	719	120683	5	0	30.94	18.85	19.15	31.07	0	0	0	7	20	33	0	20	57.14	94.29	461881931	248.303	3101150	87	148.939	7.9061	151	151	150	151	16.5	32.5064	1.1772	34	33	32.5	33	186015126	100	1269982	35	146.4705	14.5686	150	150	150	150	17.5	32.5217	1.1756	34	33	32.5	33	1783	1840	4	52	1	"145"	7	7	"145"	1	8	"1"	14	22	14	13
"SRR7297590"	"True"	"gold"	"passed all cutoffs"	1860151	34	1779743	213247	52345	25576	516	136707	5	0	30.88	18.83	19.02	31.26	0	0	0	6	21	31	0	17.65	61.76	91.18	476885277	256.369	3201420	87	148.9605	7.8681	151	151	150	151	14	32.5084	1.1578	34	33	32.5	33	186015096	100	1270220	35	146.4435	14.6612	150	150	150	150	17.5	32.5235	1.1548	34	33	32.5	33	1683	1738	4	50	1	"396"	7	7	"396"	10	2	"15"	8	26	61	3
"SRR7296992"	"True"	"gold"	"passed all cutoffs"	1860151	34	1779743	213247	52345	25576	516	136707	5	0	30.88	18.83	19.02	31.26	0	0	0	6	21	31	0	17.65	61.76	91.18	476885277	256.369	3201420	87	148.9605	7.8681	151	151	150	151	14	32.5084	1.1578	34	33	32.5	33	186015096	100	1270220	35	146.4435	14.6612	150	150	150	150	17.5	32.5235	1.1548	34	33	32.5	33	1683	1738	4	50	1	"396"	7	7	"396"	10	2	"15"	8	26	61	3
"SRR9647727"	"True"	"gold"	"passed all cutoffs"	1860151	16	1806319	427048	112894	52422	1460	294346	3	0	30.98	19.02	18.89	31.11	0	0	0	5	14	16	0	31.25	87.5	100	490195882	263.525	3291784	87.5	148.915	7.9205	151	151	150	151	12.5	32.5286	1.1501	34	33	32.5	33	186014981	100	1270938	35	146.36	14.7661	150	150	150	150	17.5	32.5455	1.145	34	33	32.5	33	1711	1765	4	49	1	"1714"	7	7	"1714"	26	1	"46"	1	79	130	23
"SRR7297473"	"True"	"gold"	"passed all cutoffs"	1860151	33	1876682	472935	56869	15893	1063	135281	4	0	31.08	19.13	18.97	30.83	0	0	0	7	19	33	0	21.21	57.58	100	507650671	272.909	3403890	83.5	149.1385	7.3939	151	151	150	151	14	32.5054	1.1582	34	33	32.5	33	186014940	100	1267288	35	146.7815	13.7966	150	150	150	150	18	32.5211	1.1526	34	33	32.5	33	1836	1893	5	51	1	"912"	7	7	"912"	63	98	"22"	15	62	40	3
